ReviewId,Review,Liked,TextBlob,SentimentIntensityAnalyzer,LogisticRegression,SVC,RandomForestClassifier,SGDClassifier,MLPClassifier
993,the presentation of the food was awful.,0,0,0,0,0,0,0,0
859,Worst food/service I've had in a while.,0,0,0,0,0,0,0,0
298,Never again will I be dining at this place!,0,0,0,0,0,0,0,0
553,I guess maybe we went on an off night but it was disgraceful.,0,0,0,0,0,0,0,0
672,As a sushi lover avoid this place by all means.,0,0,1,0,0,0,0,0
971,The ambiance is not much better.,0,0,0,0,0,0,0,0
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,1,1,1,1,1,1,1
231,"If the food is not bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,1,1,0,0,0,0,0
306,"Will never, ever go back.",0,0,0,0,0,0,0,0
706,The atmosphere here is fun.,1,1,1,1,1,1,1,1
496,The pancake was also really good and pretty large at that.,1,1,1,1,1,1,1,1
558,All of the tapas dishes were delicious!,1,1,1,1,1,1,1,1
784,"The chains, which I'm no fan of, beat this place easily.",0,1,1,1,1,1,1,1
239,"Everyone is very attentive, providing excellent customer service.",1,1,1,1,1,1,1,1
578,The staff are also very friendly and efficient.,1,1,1,1,1,1,1,1
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,1,1,1,1,1,1,1
906,After the disappointing dinner we went elsewhere for dessert.,0,0,0,0,0,0,0,0
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,0,0,0,0,0,0,0
14,I was disgusted because I was pretty sure that was human hair.,0,0,1,0,0,0,0,0
77,The sweet potato fries were very good and seasoned well.,1,1,1,1,1,1,1,1
31,This was like the final blow!,0,0,1,0,1,0,0,1
481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,1,1,0,0,1,0,0
310,Fantastic food!,1,1,1,1,1,1,1,1
311,She ordered a toasted English muffin that came out untoasted.,0,0,0,1,0,1,1,1
883,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,1,1,1,0,0,1,1
788,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,1,1,1,0,1,1,1
45,The only thing I did like was the prime rib and dessert section.,1,0,1,1,1,1,1,1
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,1,1,1,1,1,1,1
760,"Food was good, service was good, Prices were good.",1,1,1,1,1,1,1,1
1,Crust is not good.,0,0,0,0,0,0,0,0
823,The crêpe was delicate and thin and moist.,1,0,1,1,1,1,1,1
710,"That said, our mouths and bellies were still quite pleased.",1,1,1,1,1,1,1,1
614,An absolute must visit!,1,1,0,0,0,0,0,0
790,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,1,0,0,0,0,0,0
408,Service was fantastic.,1,1,1,1,1,1,1,1
736,"Friend's pasta -- also bad, he barely touched it.",0,0,0,0,0,0,0,0
957,The real disappointment was our waiter.,0,0,0,0,0,0,0,0
366,My wife had the Lobster Bisque soup which was lukewarm.,0,0,0,0,0,0,0,0
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,1,1,0,0,0,0,0
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,1,1,1,1,1,1,1
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,1,1,1,1,1,1,1
996,Appetite instantly gone.,0,0,0,1,1,0,1,1
635,We were promptly greeted and seated.,1,0,1,1,1,1,1,1
698,"Needless to say, we will never be back here again.",0,0,0,0,0,0,0,0
251,There is nothing privileged about working/eating there.,0,0,0,0,0,0,0,0
783,Bland and flavorless is a good way of describing the barely tepid meat.,0,1,1,0,0,0,0,0
819,This place should honestly be blown up.,0,1,1,1,1,1,1,1
141,The waiter was not helpful or friendly and rarely checked on us.,0,1,0,0,1,1,0,1
316,"By this point, my friends and I had basically figured out this place was a joke and did not mind making it publicly and loudly known.",0,1,1,0,0,0,0,0
587,I hate those things as much as cheap quality black olives.,0,0,0,0,0,0,0,0
331,"Both of them were truly unbelievably good, and I am so glad we went back.",1,1,1,1,1,1,1,1
295,"You get incredibly fresh fish, prepared with care.",1,1,1,1,1,1,1,1
262,The restaurant atmosphere was exquisite.,1,1,0,1,1,1,1,1
432,Service is quick and friendly.,1,1,1,1,1,1,1,1
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,0,0,0,0,0,0,0
582,"If you look for authentic Thai food, go else where.",0,1,0,0,0,0,0,0
272,You can not beat that.,1,0,0,0,0,0,0,0
270,The Veggitarian platter is out of this world!,1,0,0,1,0,0,1,1
987,"It lacked flavor, seemed undercooked, and dry.",0,0,0,0,0,0,0,0
319,All the bread is made in-house!,1,0,0,1,1,1,1,1
569,I consider this theft.,0,0,0,1,1,0,1,1
643,Maybe if they were not cold they would have been somewhat edible.,0,1,0,0,0,0,0,0
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,0,0,0,0,0,0,0
202,The warm beer did not help.,0,1,0,0,0,0,0,0
413,I can assure you that you will not be disappointed.,1,0,1,0,0,1,0,0
196,The live music on Fridays totally blows.,0,1,0,0,0,0,0,0
264,The seafood was fresh and generous in portion.,1,1,1,1,1,1,1,1
531,This place is two thumbs up....way up.,1,0,0,1,1,1,1,1
252,The Greek dressing was very creamy and flavorful.,1,1,0,1,0,0,1,1
576,I swung in to give them a try but was deeply disappointed.,0,0,0,0,0,0,0,0
738,I love the decor with the Chinese calligraphy wall paper.,1,1,1,1,1,1,1,1
299,The food was excellent and service was very good.,1,1,1,1,1,1,1,1
740,The restaurant is very clean and has a family restaurant feel to it.,1,1,1,1,1,1,1,1
247,Much better than the other AYCE sushi place I went to in Vegas.,1,1,1,0,1,0,0,0
926,"It was so bad, I had lost the heart to finish it.",0,0,0,0,0,0,0,0
412,"For service, I give them no stars.",0,0,0,0,0,0,0,0
389,Def coming back to bowl next time,1,0,0,1,1,1,1,1
796,"The chips and salsa were really good, the salsa was very fresh.",1,1,1,1,1,1,1,1
601,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,1,0,0,0,0,0,0
654,The patio seating was very comfortable.,1,1,1,1,1,1,1,1
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,1,0,0,0,0,0,0
456,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,1,1,1,1,1,1,1
386,I will come back here every time I'm in Vegas.,1,0,0,1,1,1,1,1
982,Food was below average.,0,0,0,0,0,0,0,0
909,This is my new fav Vegas buffet spot.,1,1,1,1,1,1,1,1
693,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,1,1,1,1,1,1,1
236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,0,0,1,0,0,1,1
501,"I'd rather eat airline food, seriously.",0,0,0,0,1,1,0,0
497,"This was my first crawfish experience, and it was delicious!",1,1,1,1,1,1,1,1
874,Weird vibe from owners.,0,0,0,1,1,1,1,1
452,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,0,0,0,0,1,0,0
494,Their daily specials are always a hit with my group.,1,0,0,1,1,1,1,1
923,The RI style calamari was a joke.,0,0,1,0,0,0,0,0
279,I had the mac salad and it was pretty bland so I will not be getting that again.,0,1,1,0,0,0,0,0
638,"After waiting an hour and being seated, I was not in the greatest of moods.",0,1,0,0,0,0,0,0
485,"This is not a small family restaurant, this is a fine dining establishment.",1,1,1,0,0,0,0,0
568,AN HOUR... seriously?,0,0,0,1,1,1,0,0
108,Will go back next trip out.,1,0,0,1,1,0,1,1
367,Would come back again if I had a sushi craving while in Vegas.,1,0,0,0,1,1,0,0
644,This place has a lot of promise but fails to deliver.,0,0,0,1,1,1,1,1
785,The nachos are a MUST HAVE!,1,0,0,0,0,0,0,0
873,My boyfriend and i sat at the bar and had a completely delightful experience.,1,1,1,1,1,1,1,1
65,"Great food and service, huge portions and they give a military discount.",1,1,1,1,1,1,1,1
902,The Buffet at Bellagio was far from what I anticipated.,0,1,0,1,1,1,1,1
317,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,1,1,1,1,1,1,1
636,Tried to go here for lunch and it was a madhouse.,0,0,0,1,1,0,1,0
666,The staff was very attentive.,1,1,0,1,1,1,1,1
789,"Great atmosphere, friendly and fast service.",1,1,1,1,1,1,1,1
958,My husband said she was very rude... did not even apologize for the bad food or anything.,0,0,0,0,0,0,0,0
214,Extremely Tasty!,1,0,0,0,0,1,0,0
97,Food arrived quickly!,1,1,0,0,0,0,0,0
583,Their steaks are 100% recommended!,1,0,1,1,1,1,1,1
466,I do not think I'll be running back to Carly's anytime soon for food.,0,0,0,0,0,0,0,0
523,first time there and might just be the last.,0,1,0,1,1,1,1,1
255,We had 7 at our table and the service was pretty fast.,1,1,1,0,0,0,0,0
385,I do not recommend unless your car breaks down in front of it and you are starving.,0,0,0,0,0,0,0,0
545,Just spicy enough.. Perfect actually.,1,1,1,1,1,1,1,1
382,The service was outshining & I definitely recommend the Halibut.,1,0,1,1,1,1,1,1
489,How awesome is that.,1,1,1,1,1,1,1,1
513,Reasonably priced also!,1,1,0,1,1,1,1,1
780,I had a pretty satifying experience.,1,1,1,1,0,0,1,1
904,-My order was not correct.,0,0,0,0,0,0,0,0
122,Service was fine and the waitress was friendly.,1,1,1,1,1,1,1,1
946,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,1,1,0,0,0,0,0
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,0,0,0,0,0,0,0
844,We could not believe how dirty the oysters were!,0,0,1,0,0,0,0,0
372,"The dining space is tiny, but elegantly decorated and comfortable.",1,1,1,1,1,1,1,1
283,"This place is not quality sushi, it is not a quality restaurant.",0,0,0,0,0,0,0,0
939,"The building itself seems pretty neat, the bathroom is pretty trippy, but I would not eat here again.",0,1,1,0,0,0,0,0
608,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,0,1,0,0,0,0,0
495,And then tragedy struck.,0,0,0,1,0,0,1,1
630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,1,1,1,1,1,1,1
596,I got home to see the driest damn wings ever!,0,0,0,0,0,0,0,0
713,If you are reading this please do not go there.,0,0,1,0,0,0,0,0
753,We were sat right on time and our server from the get go was FANTASTIC!,1,1,1,1,1,1,1,1
624,Pretty awesome place.,1,1,1,1,1,1,1,1
312,The food was very good.,1,1,1,1,1,1,1,1
8,The fries were great too.,1,1,1,1,1,1,1,1
529,The bartender was also nice.,1,1,1,1,1,1,1,1
876,I've had better bagels from the grocery store.,0,1,1,0,0,0,0,0
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,1,1,1,1,1,1,1
615,The cow tongue and cheek tacos are amazing.,1,1,1,1,1,1,1,1
520,"Oh this is such a thing of beauty, this restaurant.",1,0,1,1,1,1,1,1
249,Based on the sub-par service I received and no effort to show their gratitude for my business I will not be going back.,0,0,1,0,0,0,0,0
278,I think not again,0,0,0,0,0,0,0,0
424,What a mistake that was!,0,0,0,0,0,0,0,0
384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,1,0,0,0,0,0,0
395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,1,0,0,0,0,0,0
54,The portion was huge!,1,1,1,1,1,0,0,1
34,"Overall, I like this place a lot.",1,0,1,1,1,1,1,1
271,You cant go wrong with any of the food here.,1,0,1,1,0,0,1,0
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,1,1,1,1,1,1,1
403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,1,1,1,1,1,1,1
757,This is a GREAT place to eat!,1,1,1,1,1,1,1,1
975,What happened next was pretty....off putting.,0,0,0,1,1,0,1,1
990,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,0,0,0,0,0,0,0
457,Nargile - I think you are great.,1,1,1,1,1,1,1,1
362,Pretty cool I would say.,1,1,1,0,0,0,0,0
860,"This place is pretty good, nice little vibe in the restaurant.",1,1,1,1,1,1,1,1
483,The selection of food was not the best.,0,1,0,0,0,0,0,0
580,Boy was that sucker dry!!.,0,0,0,0,0,0,0,0
986,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,0,0,0,0,0,0,0
688,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,1,1,1,1,1,1,1
864,Always a pleasure dealing with him.,1,0,1,1,1,1,1,1
927,It also took her forever to bring us the check when we asked for it.,0,0,0,1,1,1,1,1
378,RUDE & INCONSIDERATE MANAGEMENT.,0,0,0,0,0,0,0,0
320,The only downside is the service.,0,0,0,0,0,0,0,0
942,very slow at seating even with reservation.,0,0,0,0,0,0,0,0
351,He was terrible!,0,0,0,0,0,0,0,0
418,First time going but I think I will quickly become a regular.,1,1,0,1,0,0,1,1
945,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,0,0,0,0,0,0,0
795,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,1,1,1,1,1,1,1
145,The bathrooms are clean and the place itself is well decorated.,1,1,1,1,1,1,1,1
826,Food quality has been horrible.,0,0,0,0,0,0,0,0
492,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,0,0,0,0,0,0,0
751,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,0,0,0,0,0,0,0
240,Horrible - do not waste your time and money.,0,0,0,0,0,0,0,0
648,Great food.,1,1,1,1,1,1,1,1
886,The service was extremely slow.,0,0,0,0,0,0,0,0
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,1,1,0,1,1,1,0
767,The block was amazing.,1,1,1,1,1,1,1,1
999,"Then, as if I had not wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,1,1,0,0,0,0,0
467,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,0,0,0,0,0,0,0
315,The bus boy on the other hand was so rude.,0,0,0,0,0,0,0,0
989,I would avoid this place if you are staying in the Mirage.,0,0,0,0,0,0,0,0
922,"Every time I eat here, I see caring teamwork to a professional degree.",1,1,1,0,0,0,0,0
717,Tonight I had the Elk Filet special...and it sucked.,0,0,0,0,0,0,0,0
458,Best tater tots in the southwest.,1,1,1,1,1,1,1,1
773,"What did bother me, was the slow service.",0,0,0,0,0,0,0,0
204,Service is friendly and inviting.,1,1,1,1,1,1,1,1
834,They were excellent.,1,1,1,1,1,1,1,1
832,No one at the table thought the food was above average or worth the wait that we had for it.,0,1,0,0,0,0,0,0
435,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,0,1,1,0,0,1,1
5,Now I am getting angry and I want my damn pho.,0,0,0,0,0,0,0,0
769,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,1,0,1,1,1,1,1
679,Service was slow and not attentive.,0,0,0,0,0,0,0,0
722,"The food was great as always, compliments to the chef.",1,1,1,1,1,1,1,1
215,Waitress was good though!,1,1,1,1,1,1,1,1
653,"Not much flavor to them, and very poorly constructed.",0,0,0,0,0,0,0,0
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,1,1,0,0,1,1,1
